Gene	P-val	FDR	Log2fc	Mean	Order in heatmap supp. fig 6S(left)	Order in heatmap supp. fig 6S (right)	Order in heatmap supp. fig 6T (left)	Order in heatmap supp. fig 6T (right)	Differential expression Neuronal IPC -Neuroblast - V2 chemistry pval	Differential expression Neuronal IPC -Neuroblast - V2 chemistry FDR	Differential expression Neuronal IPC -Neuroblast - V2 chemistry Log2fc	Differential expression Neuronal IPC -Neuroblast - V3 chemistry pval	Differential expression Neuronal IPC -Neuroblast - V3 chemistry FDR	Differential expression Neuronal IPC -Neuroblast - V3 chemistry Log2fc	Differential expression Neuronal IPC -Neuron - V2 chemistry pval	Differential expression Neuronal IPC -Neuron - V2 chemistry FDR	Differential expression Neuronal IPC -Neuron - V2 chemistry Log2fc	Differential expression Neuronal IPC -Neuron - V3 chemistry pval	Differential expression Neuronal IPC -Neuron - V3 chemistry FDR	Differential expression Neuronal IPC -Neuron- V3 chemistry Log2fc	Differential expression Neuronal IPC -Radial glia- V2 chemistry pval	Differential expression Neuronal IPC -Radial glia - V2 chemistry FDR	Differential expression Neuronal IPC -Radial glia - V2 chemistry Log2fc	Differential expression Neuronal IPC -Radial glia V3 chemistry pval	Differential expression Neuronal IPC -Radial glia - V3 chemistry FDR	Differential expression Neuronal IPC -Radial glia- V3 chemistry Log2fc
CDKN2D	2.69E-246	8.76E-244	1.55E+00	5.65E-01			27	1	9.70E-95	1.61E-94	1.47E+00	0.00E+00	0.00E+00	1.24E+00	2.50E-01	2.50E-01	1.02E+00	2.20E-117	2.98E-117	7.16E-01						
CELF3	1.82E-103	1.28E-101	1.28E+00	1.96E-01			5	40	1.04E-227	2.44E-227	-2.46E-02	1.95E-166	3.54E-166	-1.33E-01	1.67E-288	3.72E-288	1.51E-01	3.77E-146	5.47E-146	1.58E-01						
CELF4	1.07E-298	5.76E-296	2.22E+00	3.00E-01			26	44	1.07E-10	1.18E-10	4.90E-01	4.31E-01	4.38E-01	4.47E-01	1.24E-56	1.62E-56	3.56E-01	7.48E-01	7.48E-01	7.52E-01						
CERS4	2.41E-111	1.92E-109	1.90E+00	1.21E-01			35	118	3.44E-179	7.31E-179	-3.68E-01	1.18E-230	2.63E-230	-3.97E-01	1.43E-01	1.44E-01	1.29E+00	2.64E-20	2.98E-20	7.72E-01						
CLMP	5.23E-96	3.43E-94	3.43E+00	9.28E-02			71	21	2.01E-66	2.89E-66	-1.27E+00	0.00E+00	0.00E+00	-1.09E+00	0.00E+00	0.00E+00	-3.37E+00	0.00E+00	0.00E+00	-1.48E+00						
CNN2	8.18E-33	1.71E-31	1.86E+00	2.91E-02			1	85	1.20E-116	2.15E-116	-2.12E-01	1.75E-118	3.01E-118	-7.22E-01	4.76E-03	4.90E-03	1.72E+00	8.35E-22	9.61E-22	3.45E-01						
CNTN2	9.71E-52	3.14E-50	2.39E+00	2.88E-02			68	97	3.95E-160	8.13E-160	-1.05E+00	0.00E+00	0.00E+00	-1.70E+00	1.03E-07	1.10E-07	6.80E-01	4.16E-203	6.76E-203	-9.21E-01						
CNTNAP2	5.79E-264	2.29E-261	2.67E+00	2.65E-01			69	3	0.00E+00	0.00E+00	-1.01E+00	0.00E+00	0.00E+00	-1.38E+00	0.00E+00	0.00E+00	-2.06E+00	0.00E+00	0.00E+00	-1.63E+00						
CPEB2	5.50E-57	2.00E-55	1.23E+00	8.88E-02			34	128	9.60E-27	1.14E-26	1.40E+00	3.37E-67	4.84E-67	1.14E+00	5.25E-110	8.23E-110	2.70E+00	0.00E+00	0.00E+00	2.93E+00						
CRABP1	6.88E-288	3.24E-285	5.84E+00	2.24E-01			111	124	3.05E-48	3.93E-48	-4.98E-02	5.94E-13	6.77E-13	1.31E-03	0.00E+00	0.00E+00	5.11E+00	0.00E+00	0.00E+00	4.92E+00						
CREG2	8.16E-135	8.85E-133	3.73E+00	6.78E-02			90	130	1.65E-73	2.47E-73	1.51E+00	7.93E-36	1.00E-35	1.07E+00	0.00E+00	0.00E+00	5.75E+00	0.00E+00	0.00E+00	5.81E+00						
CTNNA2	1.31E-74	6.35E-73	2.24E+00	3.98E-02			123	20	3.55E-137	6.99E-137	-5.78E-01	1.71E-117	2.91E-117	-5.86E-01	0.00E+00	0.00E+00	-1.25E+00	0.00E+00	0.00E+00	-1.24E+00						
