Gene	P-val	FDR	Log2fc	Mean	Order in heatmap supp. fig 6S(left)	Order in heatmap supp. fig 6S (right)	Order in heatmap supp. fig 6T (left)	Order in heatmap supp. fig 6T (right)	Differential expression Neuronal IPC -Neuroblast - V2 chemistry pval	Differential expression Neuronal IPC -Neuroblast - V2 chemistry FDR	Differential expression Neuronal IPC -Neuroblast - V2 chemistry Log2fc	Differential expression Neuronal IPC -Neuroblast - V3 chemistry pval	Differential expression Neuronal IPC -Neuroblast - V3 chemistry FDR	Differential expression Neuronal IPC -Neuroblast - V3 chemistry Log2fc	Differential expression Neuronal IPC -Neuron - V2 chemistry pval	Differential expression Neuronal IPC -Neuron - V2 chemistry FDR	Differential expression Neuronal IPC -Neuron - V2 chemistry Log2fc	Differential expression Neuronal IPC -Neuron - V3 chemistry pval	Differential expression Neuronal IPC -Neuron - V3 chemistry FDR	Differential expression Neuronal IPC -Neuron- V3 chemistry Log2fc	Differential expression Neuronal IPC -Radial glia- V2 chemistry pval	Differential expression Neuronal IPC -Radial glia - V2 chemistry FDR	Differential expression Neuronal IPC -Radial glia - V2 chemistry Log2fc	Differential expression Neuronal IPC -Radial glia V3 chemistry pval	Differential expression Neuronal IPC -Radial glia - V3 chemistry FDR	Differential expression Neuronal IPC -Radial glia- V3 chemistry Log2fc
NEUROD2	0.00E+00	0.00E+00	1.94E+00	6.40E-01			8	15	0.00E+00	0.00E+00	-8.99E-01	0.00E+00	0.00E+00	-8.15E-01	0.00E+00	0.00E+00	-1.20E+00	0.00E+00	0.00E+00	-1.21E+00						
NEUROD6	0.00E+00	0.00E+00	2.81E+00	2.42E+00			78	53	0.00E+00	0.00E+00	-6.01E-01	0.00E+00	0.00E+00	-8.37E-01	0.00E+00	0.00E+00	-5.57E-01	0.00E+00	0.00E+00	-1.06E+00						
NFASC	3.43E-73	1.62E-71	2.09E+00	4.73E-02			56	58	2.83E-67	4.11E-67	-1.04E-01	7.77E-193	1.49E-192	-6.43E-01	9.85E-100	1.49E-99	-2.25E-02	0.00E+00	0.00E+00	-6.91E-01						
NHLH2	5.50E-71	2.53E-69	4.14E+00	4.93E-02			59	100	0.00E+00	0.00E+00	-1.80E+00	1.54E-201	3.13E-201	-1.38E+00	5.30E-238	1.02E-237	-3.34E-01	9.74E-141	1.39E-140	-2.11E-01						
NMNAT2	2.02E-40	5.13E-39	2.37E+00	2.72E-02			12	33	2.57E-282	7.56E-282	-1.82E+00	0.00E+00	0.00E+00	-2.12E+00	0.00E+00	0.00E+00	-2.56E+00	0.00E+00	0.00E+00	-2.60E+00						
NPTX1	1.51E-51	4.84E-50	3.40E+00	2.42E-02			2	62	0.00E+00	0.00E+00	-2.85E+00	0.00E+00	0.00E+00	-2.91E+00	0.00E+00	0.00E+00	-2.85E+00	0.00E+00	0.00E+00	-2.46E+00						
NPTX2	2.04E-57	7.46E-56	1.51E+00	8.28E-02			135	126	2.93E-101	4.93E-101	8.73E-02	5.28E-60	7.29E-60	-1.38E-01	0.00E+00	0.00E+00	4.19E+00	9.21E-229	1.59E-228	3.16E+00						
NR2F1	3.15E-259	1.18E-256	1.20E+00	1.84E+00			106	129	0.00E+00	0.00E+00	1.34E+00	0.00E+00	0.00E+00	7.61E-01	0.00E+00	0.00E+00	2.60E+00	0.00E+00	0.00E+00	1.58E+00						
NR2F1-AS1	7.85E-59	2.95E-57	1.28E+00	1.01E-01			124	117	7.94E-04	8.24E-04	1.20E+00	2.08E-07	2.26E-07	9.40E-01	1.49E-48	1.87E-48	2.00E+00	1.08E-37	1.31E-37	1.66E+00						
NR2F2	1.31E-63	5.37E-62	2.89E+00	1.68E-01			108	131	6.87E-01	6.97E-01	9.47E-01	9.69E-01	9.69E-01	6.88E-01	1.05E-134	1.72E-134	2.83E+00	2.63E-48	3.29E-48	2.06E+00						
NRN1	0.00E+00	0.00E+00	2.83E+00	4.81E-01			129	80	0.00E+00	0.00E+00	-1.14E+00	0.00E+00	0.00E+00	-7.45E-01	0.00E+00	0.00E+00	-1.04E+00	3.15E-30	3.74E-30	3.93E-02						
NRP2	5.13E-177	9.31E-175	3.08E+00	8.68E-02			79	112	1.06E-11	1.18E-11	9.24E-01	4.34E-08	4.79E-08	5.16E-01	2.05E-153	3.44E-153	3.26E+00	0.00E+00	0.00E+00	4.74E+00						
NRXN1	2.96E-123	2.72E-121	1.32E+00	3.06E-01			113	72	0.00E+00	0.00E+00	-6.32E-01	0.00E+00	0.00E+00	-7.77E-01	0.00E+00	0.00E+00	-3.88E-01	0.00E+00	0.00E+00	-8.02E-01						
NSG1	3.27E-179	6.08E-177	1.44E+00	3.08E-01			133	50	3.74E-89	6.07E-89	4.11E-01	1.98E-250	4.55E-250	-2.52E-01	3.99E-229	7.55E-229	3.28E-01	0.00E+00	0.00E+00	-4.90E-01						
NXPH4	1.62E-144	2.01E-142	2.32E+00	1.08E-01			134	98	0.00E+00	0.00E+00	-1.13E+00	0.00E+00	0.00E+00	-6.93E-01	1.52E-283	3.27E-283	-2.70E-01	6.21E-23	7.20E-23	6.70E-01						
PALMD	1.18E-61	4.66E-60	2.51E+00	4.86E-02			16	91	1.88E-299	5.77E-299	-2.41E+00	1.97E-284	4.86E-284	-1.06E+00	3.55E-204	6.52E-204	-1.77E+00	4.25E-143	6.11E-143	-3.78E-01						
PCDH17	4.00E-49	1.22E-47	1.67E+00	6.31E-02			42	6	1.38E-24	1.61E-24	1.20E-01	1.50E-71	2.19E-71	-2.30E-01	2.46E-130	3.95E-130	-1.43E-01	1.67E-264	2.96E-264	-8.39E-01						
PCDH9	6.11E-155	8.73E-153	1.27E+00	4.67E-01			122	110	1.16E-05	1.22E-05	6.57E-01	1.78E-175	3.31E-175	8.77E-01	1.32E-80	1.82E-80	1.35E+00	0.00E+00	0.00E+00	2.31E+00						
PCSK1N	1.55E-104	1.12E-102	1.30E+00	4.24E-01			136	28	0.00E+00	0.00E+00	-9.14E-01	0.00E+00	0.00E+00	-7.70E-01	0.00E+00	0.00E+00	-1.54E+00	0.00E+00	0.00E+00	-1.09E+00						
PHACTR3	1.81E-81	9.74E-80	1.48E+00	1.13E-01			73	55	0.00E+00	0.00E+00	-4.44E-01	6.31E-202	1.30E-201	-2.88E-01	0.00E+00	0.00E+00	-6.35E-01	0.00E+00	0.00E+00	-3.46E-01						
PLXNA4	2.69E-212	7.18E-210	3.56E+00	9.19E-02			98	105	4.99E-87	8.00E-87	-6.65E-01	0.00E+00	0.00E+00	-1.05E+00	1.26E-13	1.39E-13	1.27E+00	1.78E-17	1.98E-17	-1.05E-01						
PODXL	1.73E-33	3.70E-32	1.65E+00	2.40E-02			3	84	8.45E-11	9.33E-11	4.86E-01	1.03E-13	1.19E-13	2.53E-01	2.85E-07	3.00E-07	9.57E-01	4.57E-08	4.92E-08	8.23E-01						
PPFIA2	1.13E-105	8.27E-104	1.30E+00	1.81E-01			101	57	1.16E-105	2.00E-105	-1.70E-01	3.27E-89	4.91E-89	-2.99E-02	3.33E-247	6.57E-247	-3.32E-01	3.05E-148	4.53E-148	9.20E-02						
PPP1R17	0.00E+00	0.00E+00	1.37E+00	1.58E+00			102	125	0.00E+00	0.00E+00	-5.07E-01	4.91E-61	6.91E-61	2.56E-01	0.00E+00	0.00E+00	2.22E+00	0.00E+00	0.00E+00	3.74E+00						
PRKCZ	1.10E-47	3.29E-46	1.49E+00	5.60E-02			43	23	7.27E-216	1.64E-215	-5.00E-01	4.43E-169	8.15E-169	-4.55E-01	0.00E+00	0.00E+00	-9.23E-01	0.00E+00	0.00E+00	-8.61E-01						
PRKX	5.89E-186	1.22E-183	1.67E+00	2.44E-01			82	88	0.00E+00	0.00E+00	-5.40E-01	0.00E+00	0.00E+00	-6.81E-01	1.64E-28	1.88E-28	6.93E-01	0.00E+00	0.00E+00	-3.30E-01						
RAB3A	1.02E-157	1.55E-155	2.26E+00	1.31E-01			44	30	0.00E+00	0.00E+00	-1.48E+00	0.00E+00	0.00E+00	-1.37E+00	0.00E+00	0.00E+00	-2.17E+00	0.00E+00	0.00E+00	-1.88E+00						
RAB3D	3.57E-37	8.41E-36	1.68E+00	4.15E-02			41	65	7.28E-80	1.10E-79	-1.70E-01	1.12E-55	1.53E-55	-8.43E-02	1.82E-94	2.69E-94	1.02E-01	1.96E-88	2.61E-88	1.46E-01						
RASD1	2.71E-56	9.72E-55	1.29E+00	8.40E-02			10	103	4.81E-53	6.26E-53	3.10E-01	9.75E-117	1.64E-116	-5.17E-02	3.67E-36	4.36E-36	2.39E+00	2.34E-24	2.74E-24	7.24E-01						
RASL11B	4.75E-99	3.20E-97	1.74E+00	1.41E-01			137	123	1.21E-124	2.26E-124	2.09E-01	4.48E-29	5.63E-29	3.63E-01	0.00E+00	0.00E+00	3.17E+00	2.47E-40	3.04E-40	1.75E+00						
RND3	0.00E+00	0.00E+00	1.73E+00	1.21E+00			118	114	0.00E+00	0.00E+00	1.08E+00	0.00E+00	0.00E+00	4.86E-01	0.00E+00	0.00E+00	2.76E+00	0.00E+00	0.00E+00	1.72E+00						
RTN1	1.46E-150	1.95E-148	1.94E+00	5.04E-01			31	24	0.00E+00	0.00E+00	-1.85E+00	0.00E+00	0.00E+00	-1.47E+00	0.00E+00	0.00E+00	-2.63E+00	0.00E+00	0.00E+00	-1.90E+00						
RTN2	6.02E-59	2.27E-57	1.27E+00	7.04E-02			74	59	4.48E-28	5.38E-28	1.37E-01	2.17E-55	2.94E-55	1.22E-01	3.31E-81	4.62E-81	-1.77E-01	1.18E-163	1.85E-163	9.50E-02						
SCG3	3.51E-185	7.19E-183	1.27E+00	3.65E-01			128	42	1.17E-56	1.56E-56	4.06E-01	4.24E-47	5.68E-47	2.17E-02	3.12E-39	3.77E-39	7.18E-01	2.80E-42	3.48E-42	1.72E-01						
SCN3A	1.23E-33	2.64E-32	1.54E+00	5.01E-02			45	63	3.30E-278	9.29E-278	-1.64E+00	0.00E+00	0.00E+00	-1.12E+00	0.00E+00	0.00E+00	-1.67E+00	9.89E-269	1.80E-268	-6.69E-01						
SCRT1	1.72E-48	5.22E-47	1.91E+00	3.79E-02			49	56	2.31E-120	4.19E-120	-6.50E-01	4.43E-193	8.62E-193	-6.82E-01	8.93E-186	1.58E-185	-7.76E-01	0.00E+00	0.00E+00	-9.39E-01						
SEZ6	5.07E-130	4.99E-128	1.35E+00	2.31E-01			130	70	0.00E+00	0.00E+00	-7.93E-01	0.00E+00	0.00E+00	-5.51E-01	0.00E+00	0.00E+00	-8.80E-01	0.00E+00	0.00E+00	-4.05E-01						
SEZ6L2	5.76E-56	2.06E-54	1.91E+00	3.92E-02			66	25	0.00E+00	0.00E+00	-1.95E+00	0.00E+00	0.00E+00	-1.90E+00	0.00E+00	0.00E+00	-2.77E+00	0.00E+00	0.00E+00	-2.72E+00						
SH3BP5	4.99E-69	2.23E-67	2.32E+00	4.87E-02			51	17	0.00E+00	0.00E+00	-2.77E+00	0.00E+00	0.00E+00	-3.04E+00	0.00E+00	0.00E+00	-2.92E+00	0.00E+00	0.00E+00	-3.65E+00						
SLA	1.34E-76	6.73E-75	2.32E+00	7.76E-02			96	27	0.00E+00	0.00E+00	-2.51E+00	0.00E+00	0.00E+00	-2.90E+00	0.00E+00	0.00E+00	-3.71E+00	0.00E+00	0.00E+00	-3.57E+00						
SLC17A6	6.10E-105	4.43E-103	2.33E+00	7.71E-02			104	120	1.06E-269	2.93E-269	-1.73E+00	7.37013816123874e-310	0.00E+00	-6.85E-01	7.75E-09	8.36E-09	6.46E-01	5.03E-124	7.01E-124	1.46E+00						
SLC17A7	3.12E-38	7.52E-37	1.87E+00	2.40E-02			9	32	7.48E-257	1.99E-256	-1.86E+00	0.00E+00	0.00E+00	-2.21E+00	0.00E+00	0.00E+00	-2.85E+00	0.00E+00	0.00E+00	-2.60E+00						
SLC38A1	2.51E-242	7.60E-240	1.20E+00	6.56E-01			112	111	3.97E-232	9.45E-232	1.27E+00	3.08E-211	6.44E-211	6.64E-01	0.00E+00	0.00E+00	2.20E+00	0.00E+00	0.00E+00	9.33E-01						
SLIT1	3.48E-36	8.00E-35	2.20E+00	2.03E-02			89	81	7.59E-69	1.11E-68	-9.10E-01	4.38E-106	7.11E-106	-1.13E+00	3.09E-51	3.94E-51	-4.35E-01	2.49E-121	3.41E-121	-8.61E-01						
SMARCD3	1.24E-138	1.39E-136	1.23E+00	3.42E-01			121	83	1.20E-196	2.62E-196	-1.31E-01	1.18E-03	1.26E-03	1.82E-01	2.02E-289	4.57E-289	-7.58E-02	7.79E-66	9.96E-66	7.71E-01						
SMPD3	3.17E-70	1.44E-68	2.05E+00	4.08E-02			91	52	3.70E-62	5.06E-62	-2.86E-01	3.13E-123	5.47E-123	-4.14E-01	1.31E-110	2.08E-110	-4.23E-01	0.00E+00	0.00E+00	-7.05E-01						
SMTN	1.19E-143	1.46E-141	2.25E+00	1.02E-01			24	135	0.00E+00	0.00E+00	3.37E+00	0.00E+00	0.00E+00	3.17E+00	2.44E-306	5.62E-306	3.27E+00	1.84E-288	3.44E-288	2.81E+00						
SORBS2	2.75E-221	7.70E-219	2.41E+00	1.72E-01			83	94	5.29E-248	1.35E-247	-4.63E-01	0.00E+00	0.00E+00	-9.11E-01	7.47E-40	9.12E-40	5.22E-01	7.66E-186	1.22E-185	-1.03E-01						
SPINK5	3.82E-63	1.55E-61	3.96E+00	4.33E-02			46	113	9.53E-05	9.97E-05	4.30E-01	3.59E-05	3.87E-05	2.93E-01	0.00E+00	0.00E+00	6.40E+00	2.05E-226	3.50E-226	6.55E+00						
STMN2	0.00E+00	0.00E+00	3.15E+00	2.04E+00			53	49	0.00E+00	0.00E+00	-1.56E+00	0.00E+00	0.00E+00	-1.40E+00	0.00E+00	0.00E+00	-1.63E+00	0.00E+00	0.00E+00	-1.53E+00						
SYT1	1.64E-285	7.54E-283	2.31E+00	2.90E-01			81	10	0.00E+00	0.00E+00	-8.97E-01	0.00E+00	0.00E+00	-1.17E+00	0.00E+00	0.00E+00	-1.34E+00	0.00E+00	0.00E+00	-1.65E+00						
TBR1	5.93E-40	1.49E-38	2.41E+00	1.76E-02			99	13	1.33E-114	2.36E-114	-1.56E+00	3.65E-225	7.76E-225	-1.60E+00	4.82E-244	9.36E-244	-2.13E+00	0.00E+00	0.00E+00	-1.90E+00						
THRA	2.24E-46	6.51E-45	1.53E+00	6.75E-02			13	34	0.00E+00	0.00E+00	-1.41E+00	0.00E+00	0.00E+00	-9.62E-01	0.00E+00	0.00E+00	-2.13E+00	0.00E+00	0.00E+00	-1.21E+00						
THY1	1.13E-41	2.94E-40	1.27E+00	4.79E-02			14	5	1.05E-134	2.04E-134	-2.90E-01	1.83E-104	2.93E-104	-9.05E-02	0.00E+00	0.00E+00	-1.27E+00	0.00E+00	0.00E+00	-9.39E-01						
TMEM169	5.86E-51	1.86E-49	1.43E+00	6.28E-02			40	77	4.41E-103	7.51E-103	-7.32E-02	2.12E-81	3.11E-81	-3.70E-02	4.91E-93	7.21E-93	2.76E-01	1.25E-78	1.64E-78	3.66E-01						
TPM1	4.88E-299	2.70E-296	2.08E+00	3.28E-01			37	86	9.18E-01	9.25E-01	6.48E-01	3.90E-02	4.07E-02	4.54E-01	8.05E-72	1.09E-71	1.50E+00	4.07E-60	5.15E-60	1.20E+00						
TSPAN13	0.00E+00	0.00E+00	1.84E+00	8.17E-01			72	79	2.84E-10	3.09E-10	1.84E-01	4.06E-13	4.66E-13	-6.03E-02	1.68E-43	2.09E-43	6.71E-01	5.74E-07	6.09E-07	6.51E-03						
TTC9B	9.68E-94	6.22E-92	1.52E+00	1.12E-01			58	8	0.00E+00	0.00E+00	-1.37E+00	0.00E+00	0.00E+00	-9.78E-01	0.00E+00	0.00E+00	-2.09E+00	0.00E+00	0.00E+00	-1.35E+00						
TUBA1C	5.92E-70	2.67E-68	1.70E+00	8.37E-02			22	137	4.61E-256	1.20E-255	3.48E+00	0.00E+00	0.00E+00	3.71E+00	0.00E+00	0.00E+00	3.85E+00	0.00E+00	0.00E+00	4.37E+00						
TUBB2A	0.00E+00	0.00E+00	1.41E+00	1.96E+00			92	29	1.94E-30	2.37E-30	-9.56E-02	4.85E-94	7.44E-94	1.60E-02	0.00E+00	0.00E+00	-4.34E-01	8.33E-112	1.12E-111	-2.06E-01						
UNC5D	5.86E-57	2.12E-55	2.75E+00	2.41E-02			25	75	4.43E-199	9.87E-199	-3.23E+00	0.00E+00	0.00E+00	-2.26E+00	7.65E-102	1.17E-101	-2.30E+00	0.00E+00	0.00E+00	-1.91E+00						
XKR7	1.31E-42	3.51E-41	2.41E+00	2.21E-02			55	89	1.69E-63	2.33E-63	-7.33E-01	4.26E-163	7.63E-163	-1.27E+00	6.58E-31	7.63E-31	1.19E-02	4.62E-69	5.96E-69	-2.73E-01						
ZNF536	2.29E-78	1.18E-76	1.69E+00	8.87E-02			19	133	2.26E-15	2.56E-15	5.99E-01	3.74E-02	3.94E-02	6.14E-01	9.80E-307	2.29E-306	3.57E+00	0.00E+00	0.00E+00	3.51E+00						
ABCA1	1.08E-41	2.83E-40	-1.89E+00	5.10E-02	104	195															3.09E-25	4.18E-25	1.55E+00	1.12E-29	1.52E-29	1.43E+00
AC002454.1	5.72E-53	1.89E-51	-3.77E+00	2.31E-02	111	135															7.15E-01	7.23E-01	6.83E-01	6.35E-02	6.80E-02	2.81E-01
AC080038.1	2.37E-46	6.88E-45	-3.28E+00	1.64E-02	130	37															1.52E-95	3.31E-95	-2.01E+00	2.04E-183	5.92E-183	-1.53E+00
AC090152.1	1.69E-34	3.74E-33	-2.00E+00	3.40E-02	102	8															8.50E-34	1.24E-33	-2.39E-01	1.40E-37	2.06E-37	1.03E-01
ACTR3B	1.11E-62	4.44E-61	-1.63E+00	1.19E-01	187	15															3.43E-301	1.80E-300	-8.71E-01	1.52E-211	4.83E-211	-6.26E-01
ADAMTS6	3.81E-37	8.96E-36	-1.77E+00	3.91E-02	95	46															0.00E+00	0.00E+00	-2.53E+00	0.00E+00	0.00E+00	-2.20E+00
ADGRV1	3.52E-104	2.51E-102	-1.51E+00	1.80E-01	113	132															9.04E-10	1.05E-09	5.39E-01	2.26E-107	4.56E-107	1.23E+00
AHI1	6.17E-91	3.79E-89	-1.35E+00	1.86E-01	39	123															2.69E-39	4.11E-39	2.22E-01	6.89E-22	8.72E-22	2.12E-01
AIF1L	1.97E-45	5.59E-44	-1.31E+00	9.11E-02	116	101															3.65E-124	9.12E-124	-3.13E-01	7.09E-26	9.38E-26	2.33E-01
AK4	1.84E-112	1.51E-110	-3.43E+00	5.51E-02	65	99															8.33E-60	1.45E-59	-7.61E-01	5.24E-49	8.19E-49	-1.54E-01
AK5	9.37E-34	2.02E-32	-1.54E+00	4.24E-02	58	183															1.01E-114	2.43E-114	3.43E+00	8.52E-306	3.96E-305	4.31E+00
AL589740.1	2.28E-54	7.86E-53	-1.91E+00	4.81E-02	3	164															7.10E-20	9.05E-20	-1.90E-01	1.30E-39	1.94E-39	1.55E+00
ANGPTL1	1.34E-33	2.89E-32	-3.10E+00	1.66E-02	176	48															4.08E-184	1.36E-183	-3.15E+00	0.00E+00	0.00E+00	-2.03E+00
ANKRD35	7.96E-37	1.86E-35	-1.44E+00	5.12E-02	166	73															2.20E-100	4.88E-100	-6.37E-01	7.65E-35	1.09E-34	1.48E-01
ANKRD9	1.91E-44	5.32E-43	-1.59E+00	5.15E-02	59	139															2.30E-21	2.99E-21	-1.21E-01	5.55E-01	5.63E-01	5.87E-01
ANXA2	1.01E-43	2.77E-42	-2.44E+00	3.08E-02	15	39															8.95E-137	2.39E-136	-1.15E+00	0.00E+00	0.00E+00	-1.72E+00
ANXA5	8.27E-182	1.58E-179	-1.44E+00	3.73E-01	40	121															2.55E-50	4.17E-50	2.15E-01	3.50E-01	3.65E-01	1.54E-01
ARX	4.99E-86	2.85E-84	-1.53E+00	1.45E-01	23	72															6.41E-124	1.58E-123	-1.58E-01	0.00E+00	0.00E+00	-8.54E-01
ASPH	1.83E-41	4.75E-40	-1.23E+00	1.05E-01	82	155															7.66E-15	9.34E-15	4.68E-01	2.24E-01	2.35E-01	7.14E-01
AXL	9.60E-33	2.00E-31	-2.07E+00	2.22E-02	61	50															0.00E+00	0.00E+00	-2.43E+00	0.00E+00	0.00E+00	-1.69E+00
BDH2	7.62E-110	5.90E-108	-2.53E+00	6.10E-02	160	98															4.02E-67	7.52E-67	-2.27E-01	9.63E-187	2.87E-186	-6.75E-01
BEND3	8.14E-38	1.94E-36	-1.58E+00	5.39E-02	198	174															3.83E-12	4.53E-12	1.44E+00	4.54E-85	8.72E-85	1.86E+00
BICC1	2.69E-51	8.55E-50	-1.74E+00	6.04E-02	83	119															2.32E-27	3.22E-27	2.66E-02	2.64E-02	2.84E-02	6.45E-01
BMP7	2.11E-111	1.69E-109	-2.68E+00	6.21E-02	38	54															1.95E-142	5.41E-142	-2.18E+00	6.78E-148	1.68E-147	-4.04E-01
BOC	6.46E-78	3.30E-76	-1.34E+00	1.33E-01	197	108															1.86E-116	4.53E-116	-1.82E-01	6.39E-47	9.91E-47	1.02E-01
C2orf40	2.64E-134	2.79E-132	-2.81E+00	1.22E-01	154	171															1.74E-08	2.00E-08	1.14E+00	5.72E-77	1.06E-76	1.53E+00
CASP6	1.35E-46	3.96E-45	-1.35E+00	1.00E-01	177	68															1.57E-80	3.17E-80	-3.86E-02	7.61E-43	1.16E-42	1.40E-01
CASP7	2.91E-58	1.08E-56	-2.92E+00	2.53E-02	63	62															1.29E-97	2.84E-97	-1.28E+00	3.13E-61	5.21E-61	-5.35E-01
CCND1	1.92E-96	1.27E-94	-2.49E+00	1.02E-01	183	61															0.00E+00	0.00E+00	-1.14E+00	0.00E+00	0.00E+00	-1.50E+00
CDC42EP1	6.32E-48	1.90E-46	-4.10E+00	1.79E-02	169	75															4.66E-30	6.61E-30	-1.20E+00	8.82E-23	1.14E-22	-1.37E-02
CDH23	1.57E-45	4.47E-44	-2.90E+00	2.16E-02	188	71															1.16E-50	1.94E-50	-8.57E-01	6.63E-75	1.22E-74	-5.27E-01
CDK6	0.00E+00	0.00E+00	-2.37E+00	5.27E-01	66	176															3.87E-71	7.37E-71	1.17E+00	8.44E-242	3.25E-241	1.25E+00
CELSR1	5.73E-59	2.17E-57	-1.47E+00	8.69E-02	96	96															3.36E-136	8.85E-136	-7.42E-01	2.89E-07	3.32E-07	4.79E-01
CENPVL3	4.31E-45	1.22E-43	-2.21E+00	3.34E-02	68	87															1.95E-156	5.91E-156	-9.89E-01	1.38E-218	4.76E-218	-1.17E+00
CHPT1	1.28E-33	2.75E-32	-1.29E+00	5.30E-02	78	2															4.53E-10	5.30E-10	2.32E-01	2.40E-35	3.45E-35	1.19E+00
CHST14	1.06E-55	3.75E-54	-1.57E+00	5.80E-02	72	138															2.53E-08	2.88E-08	5.06E-01	4.76E-03	5.20E-03	7.87E-01
CIB1	5.95E-42	1.57E-40	-1.70E+00	4.04E-02	174	44															1.00E-189	3.40E-189	-1.12E+00	2.32E-228	8.43E-228	-9.46E-01
CLU	1.19E-112	9.73E-111	-1.54E+00	2.01E-01	29	42															0.00E+00	0.00E+00	-2.07E+00	0.00E+00	0.00E+00	-1.55E+00
CMTM3	9.09E-51	2.86E-49	-1.47E+00	7.40E-02	194	60															9.45E-163	2.91E-162	-4.51E-01	1.26E-170	3.46E-170	-4.93E-01
COL11A1	1.10E-91	6.82E-90	-2.08E+00	1.08E-01	139	58															2.32E-201	8.14E-201	-1.22E+00	2.51E-119	5.35E-119	-2.07E-01
COL4A2	1.03E-46	3.05E-45	-1.24E+00	8.95E-02	57	133															9.82E-01	9.82E-01	7.20E-01	2.32E-02	2.51E-02	6.37E-01
COL4A5	3.74E-110	2.95E-108	-2.07E+00	9.98E-02	123	97															1.29E-113	3.04E-113	-4.68E-01	5.93E-81	1.12E-80	-6.71E-02
COL9A1	2.35E-87	1.38E-85	-1.43E+00	1.60E-01	89	143															1.59E-05	1.76E-05	6.03E-01	6.90E-25	9.02E-25	1.02E+00
CPLX2	2.71E-132	2.70E-130	-1.39E+00	2.46E-01	6	193															0.00E+00	0.00E+00	4.83E+00	0.00E+00	0.00E+00	4.94E+00
CRHR2	9.47E-42	2.49E-40	-2.49E+00	2.49E-02	171	105															5.36E-44	8.65E-44	-1.69E+00	6.76E-06	7.60E-06	2.66E-01
CSPG5	3.94E-53	1.31E-51	-2.73E+00	2.79E-02	115	24															6.52E-102	1.47E-101	-1.46E+00	0.00E+00	0.00E+00	-1.57E+00
CTSC	2.07E-34	4.56E-33	-1.94E+00	2.80E-02	43	86															5.92E-74	1.14E-73	-6.90E-01	0.00E+00	0.00E+00	-1.42E+00
CYBA	3.02E-76	1.51E-74	-1.34E+00	1.29E-01	129	124															9.34E-16	1.15E-15	4.39E-01	2.31E-37	3.37E-37	1.62E-01
CYYR1	2.00E-114	1.67E-112	-2.20E+00	9.10E-02	133	137															5.74E-05	6.18E-05	4.74E-01	2.00E-01	2.12E-01	5.95E-01
DERA	4.80E-119	4.23E-117	-1.33E+00	2.38E-01	56	169															2.37E-52	4.02E-52	1.23E+00	6.37E-114	1.33E-113	9.35E-01
DHRS3	2.92E-70	1.33E-68	-4.21E+00	3.19E-02	192	100															3.28E-40	5.12E-40	-6.28E-01	1.70E-39	2.51E-39	-5.14E-01
DLL1	1.71E-121	1.55E-119	-1.22E+00	4.70E-01	17	177															0.00E+00	0.00E+00	1.98E+00	0.00E+00	0.00E+00	1.27E+00
DLL4	3.19E-39	7.92E-38	-2.58E+00	2.73E-02	13	179															8.95E-148	2.52E-147	3.63E+00	1.51E-121	3.24E-121	2.87E+00
DOCK1	4.55E-41	1.17E-39	-2.07E+00	3.16E-02	77	69															2.00E-50	3.30E-50	-8.02E-01	3.62E-70	6.42E-70	-2.40E-01
DOK5	4.15E-214	1.12E-211	-1.42E+00	4.85E-01	125	56															7.28E-221	2.75E-220	-2.47E-01	2.07E-186	6.10E-186	-3.33E-01
DPP4	5.36E-35	1.20E-33	-3.31E+00	1.68E-02	155	11															3.84E-28	5.37E-28	2.40E+00	1.95E-22	2.50E-22	1.91E+00
DPP7	2.21E-76	1.11E-74	-1.69E+00	9.17E-02	146	18															7.76E-172	2.42E-171	-6.27E-01	5.92E-182	1.69E-181	-4.18E-01
DSG2	2.52E-36	5.80E-35	-2.03E+00	2.83E-02	92	148															8.95E-05	9.57E-05	3.13E-01	9.33E-18	1.17E-17	1.45E-01
DUSP10	7.17E-46	2.05E-44	-1.44E+00	7.73E-02	141	88															5.69E-154	1.65E-153	-5.44E-01	5.08E-01	5.21E-01	6.90E-01
E2F1	1.62E-93	1.04E-91	-1.20E+00	3.37E-01	120	172															0.00E+00	0.00E+00	2.18E+00	0.00E+00	0.00E+00	2.15E+00
ECI1	1.94E-114	1.63E-112	-1.25E+00	3.65E-01	91	131															7.27E-01	7.30E-01	8.53E-01	4.82E-214	1.55E-213	6.37E-01
EIF1AY	3.39E-92	2.11E-90	-2.16E+00	1.05E-01	103	157															5.70E-66	1.04E-65	-3.03E-01	3.69E-13	4.52E-13	8.39E-01
EMID1	1.81E-52	5.93E-51	-2.60E+00	2.73E-02	199	3															4.84E-67	8.96E-67	-1.75E+00	5.15E-171	1.43E-170	-7.98E-01
EMP2	7.97E-141	9.33E-139	-1.97E+00	1.36E-01	53	153															4.12E-41	6.54E-41	5.92E-02	8.25E-01	8.25E-01	5.14E-01
FABP5	0.00E+00	0.00E+00	-1.27E+00	3.23E+00	114	146															0.00E+00	0.00E+00	6.95E-01	0.00E+00	0.00E+00	7.20E-01
FAM114A1	3.78E-53	1.26E-51	-2.67E+00	2.99E-02	88	65															1.09E-79	2.18E-79	-1.17E+00	1.03E-114	2.17E-114	-5.24E-01
